@relation  shuttle-2_vs_5
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class{positive,negative}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9
@outputs Class
@data
48, 45, 77, 0, -22, 0, 29, 101, 72, positive
72, 24, 82, 0, -42, -2, 10, 126, 116, positive
68, 67, 82, 0, -42, -6, 13, 126, 112, positive
47, 22, 79, 0, 42, 0, 31, 37, 6, positive
43, 29, 77, 0, 28, 0, 34, 48, 14, positive
81, 0, 84, 0, -14, 20, 3, 100, 96, negative
81, -1, 84, 0, -14, 2, 4, 100, 96, negative
82, -4, 86, -1, -40, 0, 5, 128, 124, negative
104, 2, 106, 4, 70, 0, 1, 36, 34, negative
84, 0, 87, 0, -2, 0, 3, 90, 86, negative
81, -3, 85, 0, -22, 0, 4, 108, 104, negative
85, 0, 88, -1, 6, 23, 3, 83, 80, negative
83, 3, 86, 0, -6, 0, 3, 94, 90, negative
102, 0, 103, 5, 72, 30, 1, 31, 30, negative
77, 5, 81, 0, -40, 0, 4, 123, 118, negative
78, 0, 81, 0, -40, 2292, 4, 123, 120, negative
81, 0, 84, 0, -18, -27, 3, 103, 100, negative
85, 0, 88, 1, 6, 3, 3, 83, 80, negative
79, 2, 84, 4, -40, 3, 4, 125, 120, negative
107, 0, 108, 8, 70, 0, 1, 38, 36, negative
78, 1, 82, 2, -42, 0, 4, 126, 122, negative
82, 0, 86, 0, -4, -11, 3, 91, 88, negative
105, -1, 106, 0, 70, 0, 2, 36, 34, negative
105, 0, 106, -2, 70, -2, 1, 36, 36, negative
81, -2, 85, -5, -40, 0, 4, 126, 122, negative
83, 0, 86, 0, -4, -3, 4, 92, 88, negative
80, -1, 84, 1, -36, 20, 5, 121, 116, negative
79, 0, 83, 0, -32, -8, 4, 117, 112, negative
80, 1, 84, 1, -28, 0, 4, 112, 108, negative
78, 0, 83, 8, -42, -17, 5, 126, 122, negative
82, 0, 86, 0, -2, 14, 3, 88, 84, negative
85, 0, 88, 0, 2, 0, 3, 86, 82, negative
104, -11, 107, -1, 70, 0, 3, 37, 34, negative
82, -2, 87, 0, -40, 0, 5, 128, 124, negative
101, 0, 102, 0, 72, 14, 1, 29, 28, negative
105, -1, 106, -1, 72, 1, 1, 33, 32, negative
104, 0, 105, 0, 72, 5, 1, 33, 32, negative
83, 1, 88, 0, 6, 0, 5, 83, 78, negative
78, 4, 81, 0, -40, 0, 4, 123, 120, negative
76, 0, 81, 0, -42, -6, 5, 125, 120, negative
83, -1, 86, 0, -6, 0, 4, 94, 90, negative
104, 5, 105, 6, 72, 9, 1, 33, 32, negative
79, -2, 83, -3, -40, 3, 4, 124, 120, negative
80, 0, 84, -3, -42, 0, 4, 128, 124, negative
82, 0, 86, -2, -40, 5, 4, 128, 124, negative
79, 0, 84, 2, -32, -22, 4, 117, 112, negative
84, 0, 88, 0, 0, 0, 4, 88, 84, negative
76, 0, 80, -5, -40, 0, 4, 121, 118, negative
85, 0, 88, 0, 2, 7, 3, 86, 82, negative
82, 1, 86, 0, -2, 5, 3, 88, 84, negative
78, 1, 82, 0, -40, 11, 4, 123, 120, negative
105, 0, 106, 8, 70, 0, 2, 36, 34, negative
105, -1, 106, -4, 70, -5, 1, 36, 36, negative
75, 3, 79, 1, -42, 0, 4, 123, 118, negative
85, 0, 88, 0, 2, -14, 3, 86, 82, negative
84, 4, 87, 0, 0, 0, 3, 87, 84, negative
81, 1, 84, 0, -12, 16, 3, 97, 94, negative
85, 0, 88, -9, 0, 0, 3, 88, 84, negative
79, 0, 83, 0, -42, 0, 4, 126, 122, negative
102, 4, 102, 1, 72, 18, 1, 30, 30, negative
79, 0, 83, 0, -38, 13, 4, 122, 118, negative
