@relation shuttle-2_vs_5
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
101, -3, 102, -4, 72, 0, 1, 29, 28, negative
85, -3, 88, 0, 2, -25, 3, 86, 82, negative
82, 1, 86, 0, -6, 0, 3, 94, 90, negative
78, 0, 82, -2, -40, 0, 4, 123, 120, negative
106, 0, 107, -5, 70, 0, 1, 37, 36, negative
76, 0, 81, 8, -40, 9, 5, 122, 116, negative
80, -4, 84, 0, -14, 0, 4, 99, 96, negative
85, 0, 88, 1, -2, 0, 3, 91, 88, negative
83, 0, 86, 0, -6, -21, 3, 94, 90, negative
76, 2, 81, 1, -40, 11, 5, 122, 118, negative
83, 0, 86, 0, -4, 7, 3, 92, 88, negative
108, 1, 109, 1, 72, 2, 1, 36, 36, negative
102, 0, 103, -1, 72, 16, 1, 31, 30, negative
103, -1, 104, -4, 72, 10, 1, 31, 30, negative
76, -2, 81, 0, -40, 14, 5, 122, 116, negative
76, -1, 81, 0, -40, 10, 5, 122, 116, negative
79, 0, 83, 0, -28, 2, 4, 112, 108, negative
83, 0, 87, 0, -40, 0, 4, 128, 124, negative
83, 0, 86, 0, -2, 29, 3, 89, 86, negative
105, 2, 107, 4, 72, 2, 1, 35, 34, negative
79, 0, 83, 0, -38, 5, 4, 122, 118, negative
104, -3, 106, 0, 70, -24, 1, 36, 34, negative
71, 3, 76, 8, -42, -11, 4, 119, 116, negative
81, -2, 84, 0, -20, 23, 4, 105, 102, negative
79, 0, 83, -3, -32, -2, 4, 117, 112, negative
85, 0, 88, 0, 6, 2, 3, 83, 80, negative
85, 0, 88, 0, 6, 11, 3, 83, 80, negative
82, 0, 85, 0, -10, -8, 3, 95, 92, negative
71, 1, 76, 4, -42, -5, 4, 119, 116, negative
82, 3, 86, 0, -40, 2, 4, 128, 124, negative
84, 0, 88, 2, 0, 1, 4, 88, 84, negative
106, 0, 107, 0, 72, 1, 1, 35, 34, negative
85, 0, 88, 0, 6, 8, 3, 83, 80, negative
71, 0, 75, 2, -40, 25, 4, 116, 112, negative
76, -2, 81, -1, -42, -5, 5, 125, 120, negative
104, 3, 106, 4, 70, 0, 1, 36, 34, negative
84, 0, 88, -1, 6, -3, 5, 83, 78, negative
76, 4, 80, 3, -42, 0, 4, 124, 120, negative
71, 2, 75, 1, -42, -14, 4, 119, 114, negative
101, -1, 102, -3, 72, -4, 1, 29, 28, negative
82, 0, 86, 0, -12, -9, 3, 99, 96, negative
85, 0, 88, 0, 2, 12, 3, 86, 82, negative
101, 0, 102, 0, 72, 30, 1, 30, 28, negative
104, 6, 106, 9, 70, 0, 1, 36, 34, negative
105, -5, 106, 0, 70, -30, 1, 36, 36, negative
76, 2, 81, 1, -42, -24, 5, 125, 120, negative
106, 0, 107, 0, 72, 5, 1, 35, 34, negative
102, 0, 103, 1, 72, 28, 1, 31, 30, negative
76, 1, 81, 0, -40, 0, 4, 122, 118, negative
79, -3, 84, 0, -38, 0, 4, 123, 118, negative
104, 2, 106, 2, 70, 0, 1, 36, 34, negative
105, 0, 107, 1, 70, 0, 1, 37, 36, negative
81, 2, 85, 0, -12, 0, 4, 98, 94, negative
79, 0, 83, 0, -30, 25, 4, 114, 110, negative
107, -3, 108, 0, 72, 2, 1, 36, 34, negative
78, 0, 81, -6, -40, 0, 4, 123, 120, negative
120, 1349, 76, 4, 36, 5, -43, 40, 84, negative
78, 0, 81, -1, -40, 7973, 4, 123, 120, negative
85, 0, 88, 0, 2, -21, 3, 86, 82, negative
82, -3, 86, 0, -10, 2, 4, 96, 92, negative
101, 0, 102, 0, 70, -31, 1, 32, 32, negative
85, -2, 89, 0, 6, 31, 4, 84, 80, negative
79, 0, 83, 8, -42, 0, 5, 127, 122, negative
75, 6, 79, 6, -42, 0, 4, 123, 120, negative
103, -14, 107, 0, 70, 0, 4, 37, 34, negative
82, 0, 86, 0, -10, 25, 3, 96, 92, negative
84, -3, 88, 0, 6, 0, 4, 83, 80, negative
103, 0, 104, 6, 70, 0, 1, 35, 34, negative
104, 0, 105, -7, 72, 10, 1, 33, 32, negative
105, -4, 107, -7, 70, 0, 2, 37, 36, negative
76, -1, 80, 0, -40, 0, 4, 121, 116, negative
82, 0, 85, -1, -10, 0, 3, 95, 92, negative
79, -1, 84, 11, -6, 1530, 5, 92, 88, negative
82, 0, 86, 1, -2, 7, 4, 88, 84, negative
102, 0, 102, -3, 70, -1, 1, 33, 32, negative
83, 0, 86, -1, -4, 3, 3, 92, 88, negative
82, -1, 86, 0, -6, 0, 3, 94, 90, negative
85, 4, 88, 0, 2, -20, 3, 86, 82, negative
103, 0, 104, 2, 70, 0, 1, 35, 34, negative
82, 0, 86, 0, -42, -29, 4, 130, 126, negative
81, 0, 85, -3, -24, -5, 4, 111, 108, negative
104, 0, 106, 0, 72, 11, 1, 33, 32, negative
