@relation  shuttle-2_vs_5
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class{positive,negative}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9
@outputs Class
@data
49, 31, 77, 0, -22, 0, 28, 101, 72, positive
51, 24, 77, 0, -22, 0, 27, 101, 74, positive
47, 33, 77, 0, 28, 0, 30, 48, 18, positive
50, 22, 77, 0, 28, 0, 26, 48, 22, positive
70, 51, 82, 0, -40, 28, 12, 123, 112, positive
81, 0, 84, 0, -12, 19, 3, 97, 94, negative
82, 0, 86, 0, -10, 2, 3, 96, 92, negative
82, -5, 87, 0, -40, 0, 5, 128, 124, negative
104, 2, 105, 4, 70, 0, 1, 35, 34, negative
83, 0, 86, 2, -2, 0, 4, 89, 86, negative
81, -4, 85, 0, -22, 0, 4, 108, 104, negative
85, 0, 88, 0, 2, 25, 3, 86, 82, negative
83, 1, 86, 5, -6, 0, 4, 94, 90, negative
102, 1, 103, 3, 72, 31, 1, 31, 30, negative
75, 6, 79, 2, -42, 0, 4, 123, 118, negative
79, -4, 83, -2, -32, 509, 4, 117, 112, negative
81, 0, 84, 0, -14, -28, 3, 100, 96, negative
85, 0, 88, 0, 6, 4, 3, 83, 80, negative
82, 1, 86, 1, -40, 3, 5, 128, 124, negative
105, 0, 107, 5, 70, 0, 1, 37, 36, negative
78, 0, 83, 4, -42, 0, 4, 126, 122, negative
84, 0, 88, 0, -2, -10, 3, 90, 88, negative
105, -1, 106, 0, 70, 0, 1, 36, 36, negative
101, 0, 102, 0, 70, -2, 1, 33, 32, negative
82, -2, 86, -7, -40, 0, 4, 128, 124, negative
85, 0, 89, 0, 2, -3, 4, 86, 82, negative
81, 0, 86, 0, -22, 20, 4, 109, 104, negative
71, 1, 75, 0, -42, -7, 4, 119, 114, negative
79, 1, 83, 0, -30, 0, 4, 114, 110, negative
76, 0, 81, 0, -42, -16, 5, 125, 120, negative
85, 0, 88, 0, 2, 14, 3, 86, 82, negative
85, 0, 88, -3, 2, 0, 3, 85, 82, negative
105, -7, 107, -3, 70, 0, 2, 37, 34, negative
79, -1, 84, 0, -42, 0, 4, 128, 124, negative
104, -2, 105, -1, 72, 14, 1, 33, 32, negative
105, -2, 106, -4, 72, 2, 1, 33, 32, negative
107, 0, 108, 0, 72, 5, 1, 36, 34, negative
84, 0, 88, 0, 6, 0, 5, 83, 78, negative
76, 4, 81, 0, -42, 0, 4, 125, 120, negative
