@relation  shuttle-2_vs_5
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class{positive,negative}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9
@outputs Class
@data
46, 48, 77, 0, -22, 0, 31, 101, 70, positive
72, 21, 82, 0, -42, -1, 10, 126, 116, positive
64, 78, 82, 0, -42, -6, 18, 126, 108, positive
50, 23, 79, 0, 42, 0, 29, 37, 8, positive
44, 28, 77, 0, 28, 0, 33, 48, 16, positive
81, 2, 84, 0, -12, 20, 3, 97, 94, negative
81, 0, 84, 0, -12, 2, 3, 97, 94, negative
80, -3, 84, 0, -42, 0, 5, 128, 124, negative
104, 2, 105, 3, 70, 0, 1, 35, 34, negative
84, 0, 88, 2, -2, 0, 4, 90, 86, negative
81, -3, 86, 0, -22, 0, 4, 109, 104, negative
85, 0, 89, 0, 6, 23, 4, 84, 80, negative
82, 3, 86, 0, -6, 0, 3, 94, 90, negative
101, 0, 102, 0, 72, 30, 1, 30, 28, negative
76, 5, 80, 3, -42, 0, 4, 124, 120, negative
101, 0, 102, 0, 72, 1185, 1, 30, 28, negative
82, 0, 86, 0, -12, -26, 3, 99, 96, negative
85, 0, 88, 2, 6, 3, 3, 83, 80, negative
81, 1, 86, 0, -40, 3, 4, 127, 122, negative
106, 0, 108, 6, 70, 0, 2, 38, 36, negative
78, 1, 82, 0, -42, 0, 4, 126, 122, negative
83, 0, 86, 0, -4, -11, 4, 92, 88, negative
104, -1, 106, 0, 70, 0, 1, 36, 34, negative
105, 0, 107, -2, 70, -2, 1, 37, 36, negative
81, -2, 85, -4, -40, 0, 4, 126, 122, negative
85, 1, 88, 1, -2, -3, 3, 91, 88, negative
76, 0, 80, 0, -40, 20, 4, 121, 116, negative
81, 0, 86, 0, -24, -7, 4, 112, 108, negative
80, 1, 84, 0, -28, 0, 4, 112, 108, negative
79, 0, 83, 2, -42, -16, 5, 127, 122, negative
84, 0, 88, 0, 0, 14, 3, 88, 84, negative
85, 0, 88, -1, 2, 0, 3, 85, 82, negative
104, -9, 107, -1, 70, 0, 3, 37, 34, negative
80, -2, 84, 0, -42, 0, 5, 128, 124, negative
101, 0, 102, 2, 72, 14, 1, 30, 28, negative
104, -4, 105, -3, 72, 1, 1, 33, 32, negative
104, -2, 105, -1, 72, 5, 1, 33, 32, negative
87, 1, 89, 0, 8, 0, 2, 81, 80, negative
80, 5, 84, 0, -38, 0, 4, 123, 118, negative
79, 0, 83, 0, -40, -6, 4, 125, 120, negative
82, 0, 86, 0, -6, 0, 3, 94, 90, negative
106, 5, 108, 3, 72, 8, 1, 35, 34, negative
78, -4, 83, 0, -40, 3, 4, 124, 120, negative
80, 0, 84, -2, -42, 0, 4, 128, 124, negative
82, 0, 86, 0, -40, 5, 5, 128, 124, negative
79, 0, 84, 0, -42, -24, 4, 128, 124, negative
85, 0, 88, 2, 0, 0, 3, 88, 84, negative
76, 0, 79, -7, -40, 0, 4, 121, 116, negative
85, 1, 88, 0, 2, 7, 3, 86, 82, negative
85, 0, 88, 0, 2, 5, 3, 86, 82, negative
81, 2, 85, 0, -40, 11, 4, 126, 122, negative
103, 0, 104, 5, 70, 0, 1, 35, 34, negative
102, 0, 102, -7, 70, -6, 1, 33, 32, negative
74, 4, 79, 8, -42, 0, 4, 123, 118, negative
85, 0, 88, -1, 2, -14, 3, 86, 82, negative
85, 4, 88, 0, 0, 0, 3, 88, 84, negative
82, 0, 86, 0, -10, 17, 3, 96, 92, negative
85, 0, 88, -7, 0, 0, 3, 88, 84, negative
78, 0, 82, 1, -42, 0, 4, 126, 122, negative
102, 0, 102, -2, 72, 18, 1, 30, 30, negative
78, 1, 83, 1, -40, 13, 4, 124, 120, negative
81, 3, 84, 0, -14, -2, 3, 99, 96, negative
80, 0, 84, 0, -24, 28, 4, 110, 106, negative
80, 0, 84, 1, -42, -20, 5, 128, 124, negative
83, 0, 86, -1, -6, -30, 3, 94, 90, negative
103, 1, 104, 6, 70, 0, 1, 35, 34, negative
106, 4, 108, 1, 70, 0, 1, 38, 36, negative
101, 0, 102, 0, 70, -7, 1, 33, 32, negative
85, 0, 88, 0, 0, -10, 3, 88, 86, negative
85, -9, 89, 0, 8, 0, 4, 81, 78, negative
83, 0, 86, -1, -4, 0, 3, 92, 88, negative
84, 5, 87, 0, -2, 0, 3, 90, 86, negative
82, 0, 85, -4, -10, 0, 3, 95, 92, negative
79, 0, 83, 0, -38, 7, 4, 122, 118, negative
77, 0, 81, 6, -42, 0, 4, 125, 120, negative
77, -2, 81, 0, -40, 58, 4, 123, 118, negative
101, 0, 102, 0, 72, 24, 1, 30, 28, negative
84, 5, 89, 0, 6, -12, 5, 84, 80, negative
85, 0, 88, 0, 2, 22, 3, 86, 82, negative
102, 0, 103, 7, 70, -20, 1, 33, 32, negative
104, 3, 106, 6, 72, 4, 1, 33, 32, negative
81, 0, 84, 0, -14, -15, 4, 100, 96, negative
84, -11, 89, 0, 8, 0, 5, 81, 76, negative
86, 3, 89, 0, 8, 0, 3, 81, 78, negative
82, 0, 86, 0, -2, 8, 4, 88, 84, negative
79, 3, 83, 0, -42, 0, 4, 126, 122, negative
79, 0, 83, -7, -32, -27, 4, 117, 112, negative
79, -5, 84, 0, -32, 0, 4, 117, 112, negative
102, 0, 102, -3, 72, 11, 1, 30, 30, negative
76, 2, 80, 0, -42, 0, 4, 124, 120, negative
80, 0, 84, 0, -36, -13, 4, 120, 116, negative
76, 0, 80, -7, -42, -11, 4, 124, 120, negative
81, 0, 85, 0, -40, 4, 4, 126, 122, negative
72, -11, 76, -16, -40, 6, 4, 117, 114, negative
102, -1, 103, 0, 72, 21, 1, 31, 30, negative
82, 0, 86, 0, -40, 6, 4, 128, 124, negative
83, 0, 86, 0, -6, -5, 3, 94, 90, negative
84, -1, 88, -3, -2, -10, 3, 90, 88, negative
83, 4, 86, 0, -2, 0, 3, 88, 86, negative
81, 0, 84, 0, -14, 19, 3, 100, 96, negative
82, 1, 86, 0, -10, 5, 3, 96, 92, negative
81, 0, 85, -4, -22, 0, 4, 108, 104, negative
85, 0, 88, 0, 2, 12, 3, 86, 82, negative
82, 0, 86, 1, -2, 6, 4, 88, 84, negative
81, 0, 84, 1, -14, -16, 4, 100, 96, negative
79, 0, 83, 0, -40, -8, 4, 125, 120, negative
78, 0, 82, 1, -40, 0, 4, 123, 120, negative
102, -1, 103, 0, 70, -12, 1, 33, 32, negative
82, 0, 86, -1, -42, -25, 4, 130, 126, negative
80, 0, 84, 0, -36, 0, 4, 120, 116, negative
102, 0, 102, 0, 70, -15, 1, 33, 32, negative
105, 0, 106, -1, 72, 2, 1, 34, 34, negative
83, 0, 86, 0, -6, -23, 3, 94, 90, negative
82, 0, 86, -1, -40, 1, 4, 128, 124, negative
101, 1, 102, 3, 70, -25, 1, 33, 32, negative
82, 0, 86, 0, -12, -21, 3, 99, 96, negative
82, 0, 86, 2, -12, 0, 4, 99, 94, negative
102, 0, 103, 6, 72, 28, 1, 31, 30, negative
82, 0, 86, -2, -40, 9, 4, 128, 124, negative
102, 2, 103, 6, 72, 14, 1, 31, 30, negative
85, 1, 88, 0, 0, 0, 3, 88, 86, negative
85, 4, 88, 0, 2, -20, 3, 86, 82, negative
102, -3, 104, -1, 72, 14, 1, 31, 30, negative
85, -1, 89, 0, 6, 19, 4, 84, 80, negative
106, 5, 107, 2, 70, 0, 1, 37, 36, negative
102, 0, 103, 4, 70, -9, 1, 33, 32, negative
79, -1, 83, -3, -40, 10, 4, 125, 120, negative
107, 4, 108, 1, 72, 5, 1, 36, 34, negative
104, 0, 104, -6, 70, 0, 1, 35, 34, negative
80, 0, 84, 0, -28, -16, 4, 112, 108, negative
84, -2, 87, 0, 0, 0, 3, 87, 84, negative
105, 0, 106, 0, 72, 0, 1, 34, 32, negative
83, 0, 86, 0, -4, 25, 3, 92, 88, negative
81, 0, 84, 0, -14, -9, 3, 99, 96, negative
105, 0, 106, 0, 70, -30, 1, 36, 36, negative
77, 5, 81, 4, -40, 12, 4, 123, 118, negative
79, 0, 83, 0, -40, 2, 4, 125, 120, negative
105, 2, 106, 1, 70, 0, 1, 36, 36, negative
79, 0, 83, 0, -46, -9, 4, 130, 126, negative
85, 1, 88, 0, 0, 29, 3, 88, 84, negative
79, -1, 83, 0, -32, 106, 4, 117, 112, negative
80, 4, 84, 0, -28, 0, 4, 112, 108, negative
79, 0, 83, 0, -42, 8, 4, 127, 122, negative
86, 2, 89, 0, 2, 0, 3, 86, 84, negative
105, -2, 106, 0, 72, 4, 1, 34, 32, negative
105, 0, 106, -4, 70, 0, 1, 36, 36, negative
80, 0, 84, 0, -14, 0, 4, 99, 96, negative
107, 5, 108, 1, 72, 6, 1, 36, 34, negative
82, 0, 86, 0, -12, -5, 3, 99, 96, negative
102, 0, 103, 0, 72, 12, 1, 31, 30, negative
80, -1, 84, 0, -36, 0, 5, 121, 116, negative
83, -3, 86, -2, -4, 0, 3, 92, 88, negative
83, 0, 86, 0, -4, 3, 3, 92, 88, negative
80, 1, 84, 0, -42, -29, 4, 128, 124, negative
78, 0, 83, 5, -46, 0, 4, 129, 124, negative
