@relation shuttle-2_vs_5
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
85, 0, 88, -4, 6, 1, 3, 83, 80, negative
104, 7, 105, 7, 70, 0, 1, 35, 34, negative
84, 6, 89, 0, 6, -6, 5, 84, 78, negative
107, -2, 108, -2, 70, -28, 1, 38, 38, negative
83, 0, 86, 0, -2, 21, 3, 89, 86, negative
85, 0, 88, -114, 0, 0, 3, 88, 84, negative
80, 0, 84, 0, -36, 5, 4, 120, 116, negative
82, 0, 85, -6, -10, 0, 3, 95, 92, negative
80, 4, 84, 8, -28, 0, 4, 112, 108, negative
103, -4, 104, -2, 70, 0, 1, 35, 34, negative
81, 3, 84, 0, -14, -4, 3, 99, 96, negative
86, 5, 89, 0, 2, -5, 3, 86, 84, negative
76, 0, 80, -1, -40, 0, 4, 121, 118, negative
105, 0, 106, -3, 70, -4, 1, 36, 36, negative
106, 5, 108, 0, 70, 0, 1, 38, 36, negative
82, 0, 86, 0, -40, 13, 4, 128, 124, negative
79, 1, 83, 0, -40, 16, 4, 124, 120, negative
82, 0, 85, -2, -6, 3, 3, 93, 90, negative
103, 0, 104, 0, 70, 0, 1, 34, 34, negative
101, 0, 102, 0, 70, -23, 1, 32, 32, negative
76, 0, 80, 0, -42, 0, 4, 124, 120, negative
80, -2, 84, 0, -28, 0, 4, 112, 108, negative
102, -4, 104, 0, 70, 0, 1, 34, 32, negative
80, 0, 84, 0, -20, 0, 4, 105, 100, negative
69, 59, 82, 0, -42, -5, 13, 126, 112, positive
105, 4, 108, 0, 70, 0, 2, 38, 36, negative
82, 0, 86, 2, -6, 4, 4, 94, 90, negative
82, 0, 86, 0, -22, 0, 4, 109, 106, negative
79, 0, 83, 0, -30, 5, 4, 114, 110, negative
82, 1, 85, 0, -10, 0, 3, 95, 92, negative
105, -5, 107, 0, 70, 0, 1, 37, 36, negative
79, 0, 83, -3, -40, 0, 4, 125, 120, negative
79, 0, 84, 5, -42, -13, 4, 128, 124, negative
79, 0, 83, 0, -46, -3, 4, 130, 126, negative
84, 0, 88, 2, 0, 0, 3, 88, 84, negative
85, 3, 88, 0, 2, 0, 3, 85, 82, negative
85, 0, 88, 0, 0, -9, 3, 88, 86, negative
82, 4, 86, 0, -6, 0, 3, 94, 90, negative
85, -3, 89, 0, 8, 0, 4, 81, 78, negative
105, 2, 106, 1, 70, 0, 1, 36, 36, negative
80, 1, 84, -1, -28, 0, 4, 112, 108, negative
