@relation shuttle-2_vs_5
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
78, -2, 82, 0, -40, 0, 4, 123, 120, negative
81, 0, 84, 0, -20, -6, 4, 105, 102, negative
77, 1, 81, 0, -42, 0, 4, 125, 122, negative
105, -2, 106, 0, 70, 0, 1, 36, 36, negative
80, 0, 84, 0, -36, -7, 4, 120, 116, negative
81, 4, 84, 0, -14, 4, 3, 100, 96, negative
107, 3, 108, 0, 70, -1, 1, 38, 36, negative
86, 5, 89, 0, 2, -14, 3, 86, 84, negative
106, 5, 107, -1, 70, -1, 1, 37, 36, negative
81, 0, 84, 0, -14, 14, 3, 100, 96, negative
79, 0, 83, 3, -40, 15, 5, 125, 120, negative
79, 0, 83, 0, -46, -29, 4, 130, 126, negative
83, 0, 86, 0, -4, 2, 3, 92, 88, negative
81, 0, 86, 8, -40, 7, 5, 127, 122, negative
79, 1, 84, 3, -40, 2, 4, 125, 120, negative
83, 0, 87, 8, -4, 1, 4, 92, 88, negative
101, 0, 102, 0, 72, 3, 1, 29, 28, negative
102, 0, 102, 0, 72, 31, 1, 30, 30, negative
79, 0, 83, 0, -30, 19, 4, 114, 110, negative
81, 3, 84, 0, -12, 17, 3, 97, 94, negative
76, 0, 81, 0, -42, -18, 5, 125, 120, negative
81, -2, 85, -4, -40, 0, 4, 126, 122, negative
79, -3, 83, -4, -40, 5, 4, 124, 120, negative
105, 1, 106, 0, 70, -3, 1, 36, 34, negative
108, 0, 108, -6, 72, 7, 1, 36, 36, negative
85, 0, 88, 0, 0, -22, 3, 88, 86, negative
81, 0, 85, 1, -22, 0, 4, 108, 104, negative
81, 1, 84, 0, -14, 8, 3, 100, 96, negative
78, 0, 83, 1, -40, 10, 4, 124, 120, negative
78, 0, 82, 0, -46, 0, 4, 128, 124, negative
81, 0, 84, 0, -20, 24, 4, 105, 102, negative
83, 0, 86, -1, -4, 10, 3, 92, 88, negative
81, 0, 84, 0, -14, 2, 4, 100, 96, negative
85, 4, 88, 0, 0, 0, 3, 88, 86, negative
80, 0, 84, 3, -24, 5, 4, 110, 106, negative
81, 0, 84, 0, -14, -4, 4, 100, 96, negative
102, 0, 103, 0, 72, 10, 1, 31, 30, negative
104, -5, 106, 0, 70, 0, 1, 36, 34, negative
83, 0, 86, -2, -4, 8, 3, 92, 88, negative
85, 0, 88, 0, 6, 12, 3, 83, 80, negative
78, 3, 82, 0, -42, 0, 4, 126, 122, negative
102, -16, 107, 0, 70, 0, 5, 37, 32, negative
78, 1, 81, 0, -40, 142, 4, 123, 120, negative
80, -3, 84, 0, -36, 0, 5, 121, 116, negative
80, 1, 84, 0, -36, 0, 4, 121, 116, negative
83, -2, 86, -1, -4, 0, 3, 92, 88, negative
84, 0, 88, 0, 0, 9, 3, 88, 84, negative
85, 0, 88, 5, 6, 0, 3, 83, 80, negative
104, 0, 106, 1, 70, -26, 1, 36, 34, negative
83, -4, 87, 4, -4, 0, 4, 92, 88, negative
83, 0, 86, 0, -6, -26, 3, 94, 90, negative
82, 0, 86, 0, -10, 2, 3, 96, 92, negative
84, -4, 88, -6, 0, 28, 3, 88, 84, negative
85, 0, 88, 0, 6, 13, 3, 83, 80, negative
84, -1, 88, 0, 0, 0, 4, 88, 84, negative
102, 0, 103, 1, 72, 27, 1, 31, 30, negative
81, 0, 84, 0, -14, 0, 3, 99, 96, negative
101, 0, 102, 0, 72, 21, 1, 29, 28, negative
79, 0, 83, 2, -46, 0, 5, 130, 126, negative
85, 0, 88, -2, 0, 0, 3, 88, 84, negative
105, -2, 106, -5, 70, 0, 1, 36, 34, negative
79, 0, 83, 0, -32, 14, 4, 117, 112, negative
84, 0, 87, -1, 0, 8, 3, 87, 84, negative
77, 0, 81, 0, -40, 4, 4, 123, 118, negative
123, 4903, 104, -3, 36, -6, -18, 68, 86, negative
85, 0, 88, 1, 2, 0, 3, 86, 82, negative
102, -4, 104, -1, 72, 13, 1, 31, 30, negative
85, 0, 88, 0, 6, 14, 3, 83, 80, negative
84, 0, 88, 2, -2, 0, 4, 90, 86, negative
103, 0, 104, 1, 70, 0, 1, 35, 34, negative
85, -1, 89, 0, 2, -5, 4, 86, 82, negative
72, 21, 82, 0, -42, -1, 10, 126, 116, positive
83, 1, 86, 3, -6, 0, 4, 94, 90, negative
71, 2, 76, 6, -42, -9, 4, 119, 116, negative
76, 0, 81, 0, -40, 29, 5, 123, 118, negative
81, -1, 84, 0, -20, 18, 4, 105, 102, negative
85, 0, 88, 0, 6, 0, 3, 83, 80, negative
86, 5, 89, 0, 2, -1, 3, 86, 84, negative
82, 0, 86, 0, -40, 9, 4, 128, 124, negative
80, 0, 84, -2, -38, -12, 4, 123, 118, negative
82, 0, 86, -1, -10, 4, 3, 96, 92, negative
85, 1, 88, 0, 0, 0, 3, 88, 84, negative
