@relation shuttle-2_vs_5
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
80, 1, 84, 0, -28, 0, 4, 112, 108, negative
76, 0, 81, 2, -40, 0, 5, 122, 118, negative
82, 0, 86, 0, -4, -24, 3, 91, 88, negative
77, 0, 81, -2, -40, 0, 4, 122, 118, negative
83, 0, 86, 0, -6, -23, 3, 94, 90, negative
105, 0, 106, -7, 70, 0, 1, 36, 36, negative
84, 4, 89, 0, 6, -10, 5, 84, 80, negative
82, 0, 86, 5, -10, 0, 4, 96, 92, negative
42, 36, 77, 0, -22, 0, 36, 101, 64, positive
77, 2, 81, 1, -40, 13, 4, 123, 118, negative
107, 5, 108, -1, 70, -2, 1, 38, 36, negative
80, 0, 84, 2, -42, -23, 5, 128, 124, negative
79, 0, 83, 0, -42, 2, 4, 127, 122, negative
108, 0, 109, 0, 72, 4, 1, 36, 36, negative
81, 1, 84, 0, -14, 1, 3, 100, 96, negative
82, 0, 85, 0, -6, 26, 3, 93, 90, negative
78, -4, 83, 0, -46, 0, 4, 129, 124, negative
79, -1, 83, -2, -40, 2, 4, 124, 120, negative
84, -3, 88, 0, 6, 0, 5, 83, 78, negative
81, 0, 86, 0, -22, 10, 4, 109, 104, negative
79, 2, 83, 0, -28, 0, 4, 112, 108, negative
81, 5, 84, 0, -24, 0, 4, 110, 106, negative
102, 0, 103, 0, 70, -17, 1, 33, 32, negative
101, 0, 102, 0, 72, 5, 1, 30, 28, negative
78, 0, 83, 7, -42, 0, 4, 126, 122, negative
79, 4, 83, 1, -42, -23, 4, 127, 122, negative
105, 2, 106, 1, 70, 0, 1, 36, 34, negative
101, 0, 102, 0, 70, 0, 1, 33, 32, negative
83, 0, 86, -1, -4, 0, 3, 92, 88, negative
105, -5, 106, -7, 70, 0, 1, 36, 34, negative
81, 0, 84, 0, -14, -14, 4, 100, 96, negative
105, -1, 106, -1, 70, 0, 1, 36, 34, negative
85, -3, 88, 0, 6, 9, 3, 83, 80, negative
78, 0, 83, 8, -42, 0, 4, 126, 122, negative
79, -3, 84, 0, -32, 0, 4, 117, 112, negative
85, 0, 88, 0, 2, 10, 3, 86, 82, negative
104, 3, 105, 0, 72, 3, 1, 33, 32, negative
103, 3, 104, 0, 70, 0, 1, 35, 34, negative
104, 2, 105, 3, 70, 0, 1, 35, 34, negative
101, -5, 102, 0, 70, -7, 1, 33, 32, negative
103, -5, 104, -4, 72, 15, 1, 32, 30, negative
82, 0, 85, 0, -6, 12, 3, 93, 90, negative
71, -12, 76, -14, -40, 6, 4, 117, 112, negative
104, -3, 105, 0, 72, 5, 1, 33, 32, negative
83, 0, 86, 0, -4, 13, 3, 92, 88, negative
107, 5, 108, 0, 70, 0, 1, 38, 36, negative
78, 0, 82, -1, -42, 0, 4, 126, 122, negative
85, 0, 88, 0, 6, -2, 3, 83, 80, negative
102, 0, 103, 5, 70, -21, 1, 33, 32, negative
105, 4, 106, 1, 70, 0, 1, 36, 34, negative
71, 1, 75, 0, -42, -9, 4, 119, 114, negative
105, 0, 106, -6, 70, 0, 1, 36, 36, negative
80, 1, 84, 3, -42, -26, 5, 128, 124, negative
71, -6, 75, -10, -40, 2, 4, 116, 112, negative
82, -1, 86, 0, -2, 25, 3, 88, 84, negative
81, 0, 84, 0, -20, 12, 4, 105, 102, negative
82, 0, 87, 1, -40, 5, 5, 128, 124, negative
