@relation  shuttle-2_vs_5
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class{positive,negative}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9
@outputs Class
@data
45, 46, 77, 0, -22, 0, 33, 101, 68, positive
72, 30, 82, 0, -42, -3, 10, 126, 116, positive
68, 72, 82, 0, -42, -8, 14, 126, 112, positive
50, 22, 79, 0, 42, 0, 29, 37, 8, positive
48, 30, 77, 0, 28, 0, 29, 48, 20, positive
81, 0, 84, 3, -12, 20, 4, 97, 94, negative
81, 1, 84, 0, -14, 2, 3, 100, 96, negative
80, -4, 84, 0, -42, 0, 5, 128, 124, negative
104, 2, 106, 3, 70, 0, 1, 36, 34, negative
84, 0, 87, 1, -2, 0, 3, 90, 86, negative
80, -3, 84, 0, -20, 0, 4, 105, 100, negative
85, 0, 88, 0, 6, 24, 3, 83, 80, negative
83, 3, 86, 8, -6, 0, 4, 94, 90, negative
102, 0, 103, 2, 72, 30, 1, 31, 30, negative
75, 5, 79, 1, -42, 0, 4, 123, 118, negative
79, -1, 83, -8, 436, 1822, 4, -353, -356, negative
81, 1, 84, 0, -18, -26, 3, 103, 100, negative
85, 0, 88, -6, 6, 3, 3, 83, 80, negative
81, 5, 85, 2, -40, 3, 4, 126, 122, negative
107, 0, 108, 7, 70, 0, 1, 38, 36, negative
78, 1, 82, 3, -42, 0, 4, 126, 122, negative
84, 0, 88, -1, -2, -11, 3, 90, 88, negative
105, -1, 106, -1, 70, 0, 1, 36, 34, negative
104, 0, 106, -1, 70, -2, 1, 36, 34, negative
81, -3, 85, -6, -40, 0, 4, 126, 122, negative
85, 0, 88, 0, -2, -3, 3, 91, 88, negative
80, 0, 84, 0, -32, 20, 4, 117, 114, negative
79, 0, 84, 2, -32, -7, 4, 117, 112, negative
80, 1, 84, 8, -28, 0, 4, 113, 108, negative
79, 0, 83, 0, -46, -17, 4, 130, 126, negative
83, 0, 86, 0, -4, 14, 3, 92, 88, negative
84, 0, 88, 0, 2, 0, 3, 85, 82, negative
105, -11, 108, 0, 70, 0, 3, 38, 36, negative
82, -2, 86, -1, -40, 0, 5, 128, 124, negative
102, 0, 102, -1, 72, 14, 1, 30, 30, negative
105, -2, 106, -3, 72, 1, 1, 33, 32, negative
104, -1, 106, 0, 72, 5, 1, 33, 32, negative
84, 1, 88, 0, 6, 0, 4, 83, 80, negative
80, 4, 84, 0, -38, 0, 4, 123, 118, negative
76, 4, 82, 0, -42, -6, 5, 126, 120, negative
82, -1, 86, 0, -6, 0, 3, 94, 90, negative
108, 4, 109, 0, 72, 9, 1, 36, 36, negative
80, -3, 84, -8, -40, 3, 4, 125, 122, negative
80, 0, 84, -6, -42, 0, 4, 128, 124, negative
80, -1, 84, -2, -42, 5, 5, 128, 124, negative
79, 0, 83, 0, -32, -24, 4, 117, 112, negative
84, 0, 88, 1, 0, 0, 3, 88, 84, negative
76, 0, 80, -7, -40, 0, 4, 121, 118, negative
85, -3, 88, 0, 2, 7, 3, 86, 82, negative
82, 0, 85, 0, -2, 5, 3, 88, 84, negative
76, 2, 81, 1, -40, 11, 5, 122, 118, negative
103, 0, 104, 8, 70, 0, 1, 35, 34, negative
105, -1, 106, -5, 70, -6, 1, 36, 36, negative
74, 3, 79, 7, -42, 0, 4, 123, 118, negative
85, 0, 89, 2, 2, -14, 4, 86, 82, negative
85, 4, 88, 0, 2, 0, 3, 86, 82, negative
82, 0, 86, 0, -10, 16, 3, 96, 92, negative
85, 0, 88, -14, 0, 0, 3, 88, 84, negative
78, 0, 82, -1, -42, 0, 4, 126, 122, negative
102, 2, 103, 0, 72, 18, 1, 31, 30, negative
76, 0, 81, -1, -40, 13, 5, 122, 118, negative
81, 3, 84, 0, -14, -3, 3, 99, 96, negative
79, 0, 83, -1, -30, 29, 4, 114, 110, negative
76, 0, 81, 0, -42, -20, 5, 125, 120, negative
82, 0, 86, 3, -10, -30, 4, 96, 92, negative
102, 1, 103, 5, 70, 0, 1, 33, 32, negative
107, 4, 108, 0, 70, 0, 1, 38, 38, negative
102, 0, 103, 1, 70, -7, 1, 33, 32, negative
85, 0, 89, 0, 2, -10, 4, 86, 82, negative
85, -7, 89, 0, 8, 0, 4, 81, 78, negative
83, 0, 86, 0, -4, 0, 3, 92, 88, negative
82, 5, 86, 0, -6, 0, 3, 94, 90, negative
82, 0, 85, -7, -10, 0, 3, 95, 92, negative
79, 0, 84, 0, -40, 7, 4, 125, 120, negative
76, 0, 81, 5, -42, 0, 5, 125, 120, negative
77, -2, 81, 0, -40, 47, 4, 123, 118, negative
102, 0, 102, -3, 72, 24, 1, 30, 30, negative
86, 5, 89, 0, 2, -14, 3, 86, 84, negative
83, 0, 86, 0, -4, 22, 3, 92, 88, negative
101, 1, 102, 3, 70, -20, 1, 33, 32, negative
104, 2, 105, 2, 72, 4, 1, 33, 32, negative
81, 0, 84, 0, -14, -14, 4, 100, 96, negative
85, -16, 89, 0, 8, 0, 4, 81, 78, negative
87, 2, 89, 0, 8, 0, 2, 81, 80, negative
84, 0, 87, -1, 0, 8, 3, 87, 84, negative
78, 3, 81, 0, -42, 0, 4, 125, 122, negative
79, 0, 83, 0, -30, -28, 4, 114, 110, negative
79, -3, 84, 0, -32, 0, 4, 117, 112, negative
104, -1, 105, -1, 72, 11, 1, 33, 32, negative
78, 2, 81, 0, -40, 0, 4, 123, 120, negative
79, 0, 83, 0, -40, -13, 4, 125, 120, negative
76, 0, 80, -1, -42, -11, 4, 124, 120, negative
81, 1, 86, 0, -40, 4, 4, 127, 122, negative
71, -9, 76, -11, -40, 5, 4, 117, 112, negative
102, 0, 103, -1, 72, 20, 1, 31, 30, negative
79, 0, 83, 0, -42, 6, 4, 127, 122, negative
85, 0, 88, 0, -2, -5, 3, 91, 88, negative
84, -2, 88, -6, -2, -11, 3, 90, 88, negative
85, 5, 88, 0, 0, 0, 3, 88, 86, negative
81, 0, 84, 0, -20, 19, 4, 105, 102, negative
82, 0, 86, 2, -6, 5, 4, 94, 90, negative
81, 0, 85, -7, -22, 0, 4, 108, 104, negative
82, 0, 86, 0, -2, 12, 3, 88, 84, negative
84, 0, 87, -1, 0, 6, 3, 87, 84, negative
81, 0, 84, 0, -18, -16, 3, 103, 100, negative
76, 0, 81, 0, -42, -7, 5, 125, 120, negative
79, 0, 83, 0, -40, 0, 4, 124, 120, negative
102, 0, 102, -3, 70, -12, 1, 33, 32, negative
76, 0, 81, 5, -42, -25, 5, 125, 120, negative
80, 1, 84, 0, -32, 0, 4, 117, 114, negative
102, -4, 103, 0, 70, -15, 1, 33, 32, negative
104, 0, 105, -7, 72, 2, 1, 33, 32, negative
84, 0, 88, 0, -2, -23, 3, 90, 88, negative
82, -1, 87, 0, -40, 1, 5, 128, 124, negative
104, 8, 105, 9, 70, -25, 1, 35, 34, negative
82, 0, 86, 0, -12, -22, 3, 99, 96, negative
81, 0, 85, 2, -12, 0, 4, 98, 94, negative
102, 0, 103, 2, 72, 28, 1, 31, 30, negative
82, 1, 86, 0, -40, 9, 4, 128, 124, negative
102, 3, 104, 3, 72, 15, 1, 31, 30, negative
85, 1, 88, 0, 0, -1, 3, 88, 86, negative
86, 4, 89, 0, 6, -18, 3, 84, 80, negative
103, -5, 104, -4, 72, 15, 1, 32, 30, negative
85, 0, 88, -1, 6, 19, 3, 83, 80, negative
106, 5, 108, 3, 70, 0, 1, 38, 36, negative
104, 0, 104, -8, 70, -9, 1, 35, 34, negative
79, 0, 84, -2, -40, 10, 4, 125, 120, negative
108, 3, 109, 2, 72, 5, 1, 36, 36, negative
103, 0, 104, -7, 70, 0, 1, 34, 34, negative
79, 0, 83, -6, -32, -17, 4, 117, 112, negative
85, -3, 88, 0, 0, 0, 3, 88, 84, negative
105, 0, 106, 0, 72, 0, 1, 34, 34, negative
83, -2, 86, 0, -2, 25, 4, 89, 86, negative
81, 0, 84, 0, -14, -8, 3, 99, 96, negative
104, -3, 105, -2, 70, -30, 1, 35, 34, negative
80, 4, 84, 0, -36, 12, 4, 121, 116, negative
79, 0, 83, 0, -38, 2, 4, 122, 118, negative
107, 2, 108, 3, 72, 0, 1, 36, 34, negative
79, 0, 84, 4, -42, -10, 4, 128, 124, negative
85, 0, 88, 0, 2, 29, 3, 86, 82, negative
79, -1, 83, 0, -32, 132, 4, 117, 112, negative
80, 5, 84, 0, -28, 0, 4, 112, 108, negative
81, 1, 85, 0, -40, 8, 4, 126, 122, negative
86, 5, 89, 0, 2, -1, 3, 86, 84, negative
106, -1, 108, 0, 72, 4, 1, 35, 34, negative
105, 0, 106, -5, 70, 0, 1, 36, 34, negative
80, -1, 84, 0, -14, 0, 4, 99, 96, negative
104, 5, 105, 0, 72, 6, 1, 33, 32, negative
82, 0, 85, 0, -10, -6, 3, 95, 92, negative
103, -4, 104, 0, 72, 12, 1, 32, 30, negative
80, -2, 84, 2, -36, 0, 5, 121, 116, negative
83, -5, 86, -6, -4, 0, 3, 92, 88, negative
84, 0, 87, 0, 0, 3, 3, 87, 84, negative
81, 4, 85, 0, -42, -29, 4, 129, 124, negative
78, 0, 83, 8, -46, 0, 4, 129, 124, negative
85, 0, 88, 0, 6, 21, 3, 83, 80, negative
85, 0, 88, -3, 2, -7, 3, 86, 82, negative
102, 0, 103, 0, 70, -24, 1, 33, 32, negative
85, 0, 89, 0, 6, 26, 4, 84, 80, negative
73, -13, 77, -13, -40, 2, 4, 119, 114, negative
80, 0, 84, -1, -42, 3, 5, 128, 124, negative
102, 3, 104, 3, 70, -1, 1, 34, 32, negative
85, 0, 89, 4, 2, 0, 4, 86, 82, negative
81, 0, 84, 0, -14, 27, 3, 100, 96, negative
82, 0, 86, 0, -12, -2, 3, 99, 96, negative
101, 0, 102, 0, 70, -3, 1, 33, 32, negative
79, 1, 84, 2, -40, 1, 4, 125, 120, negative
80, 3, 84, 0, -42, -18, 4, 128, 124, negative
79, -4, 83, -6, -40, 6, 4, 124, 120, negative
102, 0, 102, 0, 70, -4, 1, 33, 32, negative
82, 1, 86, 0, -22, 4, 4, 109, 106, negative
107, -4, 108, 0, 70, 0, 1, 38, 36, negative
75, 6, 79, 6, -42, 0, 4, 123, 120, negative
85, 2, 88, 2, -2, 0, 3, 91, 88, negative
80, 0, 84, -3, -36, 0, 4, 120, 116, negative
80, 0, 84, 0, -24, 6, 4, 110, 106, negative
79, 0, 83, 0, -38, 26, 4, 122, 118, negative
81, 4, 84, 0, -18, 0, 3, 103, 100, negative
107, 0, 108, -6, 70, -19, 1, 38, 36, negative
85, 0, 88, -1, 2, -4, 3, 86, 82, negative
84, -2, 88, 0, 6, 0, 4, 83, 78, negative
84, 0, 87, 7, -2, 0, 3, 90, 86, negative
107, -2, 108, -1, 70, -23, 1, 38, 38, negative
107, 4, 108, -1, 70, -1, 1, 38, 36, negative
81, 0, 86, 5, -24, -1, 4, 112, 108, negative
104, -3, 105, 0, 72, 2, 1, 33, 32, negative
106, 3, 108, 1, 70, 0, 1, 38, 36, negative
80, 0, 84, 0, -40, 23, 4, 125, 122, negative
101, 0, 102, 0, 72, 8, 1, 29, 28, negative
104, 2, 105, -1, 70, 0, 1, 35, 34, negative
81, 0, 84, 0, -22, -12, 4, 108, 104, negative
85, 1, 88, 0, -2, -7, 3, 91, 88, negative
81, 0, 84, 0, -20, -10, 4, 105, 102, negative
106, 2, 108, 7, 72, 7, 2, 35, 34, negative
81, 1, 86, 0, -40, 5, 4, 127, 122, negative
82, 0, 86, -1, -12, -19, 3, 99, 96, negative
78, -3, 83, 0, -46, 0, 4, 129, 124, negative
85, -1, 89, 0, 2, -1, 4, 86, 82, negative
84, 8, 89, 0, 6, -10, 5, 84, 80, negative
79, 0, 83, -4, -46, 0, 4, 129, 126, negative
81, 0, 86, 1, -24, -11, 4, 112, 108, negative
81, 2, 84, 0, -14, -17, 3, 100, 96, negative
82, 0, 85, -1, -2, 9, 3, 88, 84, negative
81, 0, 84, 0, -18, 0, 4, 103, 98, negative
102, 0, 102, -5, 70, -5, 1, 33, 32, negative
83, 0, 86, -1, -4, 10, 3, 92, 88, negative
81, 0, 84, 0, -20, 3, 4, 105, 102, negative
83, 1, 86, 2, -6, 0, 4, 94, 90, negative
85, 0, 88, 0, 6, 11, 3, 83, 80, negative
78, 3, 82, 0, -46, 0, 4, 128, 124, negative
84, 0, 88, 7, 0, 0, 4, 88, 84, negative
107, 1, 108, 2, 72, 6, 1, 36, 34, negative
85, 0, 88, -114, 0, 0, 3, 88, 84, negative
105, -5, 106, 0, 70, 0, 2, 36, 34, negative
76, 2, 81, 0, -40, 20, 4, 122, 118, negative
84, -1, 88, 1, -2, 0, 4, 90, 86, negative
82, 5, 86, 0, -40, 5, 4, 128, 124, negative
106, 1, 108, 0, 70, 0, 1, 38, 36, negative
105, 1, 107, 2, 72, 1, 1, 35, 34, negative
