@relation  shuttle-2_vs_5
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class{positive,negative}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9
@outputs Class
@data
50, 30, 77, 0, -22, 0, 28, 101, 72, positive
50, 24, 77, 0, -22, 0, 27, 101, 74, positive
45, 32, 77, 0, 28, 0, 32, 48, 16, positive
42, 23, 77, 0, 28, 0, 34, 48, 14, positive
82, 0, 85, 0, -6, 20, 3, 93, 90, negative
81, 2, 84, 0, -14, 1, 3, 100, 96, negative
82, -3, 86, -1, -40, 0, 5, 128, 124, negative
105, 2, 106, 1, 70, 0, 1, 36, 34, negative
84, 0, 88, 0, -2, 0, 3, 90, 88, negative
81, -3, 84, 0, -14, 0, 4, 100, 96, negative
83, 0, 86, -5, -2, 24, 3, 88, 86, negative
83, 2, 86, -1, -6, 0, 3, 94, 90, negative
102, 0, 102, -7, 72, 31, 1, 30, 30, negative
77, 5, 81, 0, -42, 0, 4, 125, 122, negative
78, 0, 81, 0, -40, 447, 4, 123, 120, negative
82, 0, 85, 0, -4, -26, 3, 90, 88, negative
85, 1, 88, 0, 2, 3, 3, 86, 82, negative
80, 0, 85, 2, -40, 3, 5, 126, 122, negative
106, 0, 108, 3, 70, 0, 2, 38, 36, negative
78, 0, 83, 2, -42, 0, 4, 126, 122, negative
85, 0, 89, 0, 2, -11, 4, 86, 82, negative
105, -1, 106, 2, 70, 0, 2, 36, 34, negative
102, 0, 102, -3, 70, -2, 1, 33, 32, negative
76, -3, 81, 0, -42, 0, 4, 125, 120, negative
85, 0, 88, -1, 2, -3, 3, 86, 82, negative
79, 0, 83, 0, -28, 21, 4, 112, 108, negative
80, 0, 84, 0, -36, -8, 4, 120, 116, negative
81, 1, 85, 3, -24, 0, 4, 111, 106, negative
80, 0, 84, 0, -36, -17, 4, 120, 116, negative
82, 0, 85, 0, -6, 13, 3, 93, 90, negative
85, 0, 89, 2, 2, 0, 4, 86, 82, negative
102, -16, 107, 0, 70, 0, 5, 37, 32, negative
82, -1, 86, -6, -40, 0, 4, 128, 124, negative
101, 0, 102, 0, 72, 15, 1, 30, 28, negative
105, 0, 106, 0, 72, 1, 1, 34, 32, negative
107, 0, 108, -1, 72, 5, 1, 35, 34, negative
85, 0, 88, 2, 6, 0, 3, 83, 80, negative
80, 2, 84, 0, -38, 0, 4, 123, 118, negative
79, 0, 83, 0, -46, -6, 4, 130, 126, negative
83, -1, 86, -1, -4, 0, 3, 92, 88, negative
106, 6, 108, 4, 72, 10, 1, 35, 34, negative
80, 0, 84, -1, -40, 3, 4, 125, 122, negative
78, 0, 82, -5, -46, 0, 4, 128, 124, negative
80, -1, 84, -1, -42, 4, 5, 128, 124, negative
76, 0, 81, 0, -42, -23, 5, 125, 120, negative
84, 0, 87, -2, 0, 0, 3, 87, 84, negative
78, 0, 81, -6, -40, 0, 4, 123, 120, negative
85, 0, 88, 0, 2, 8, 3, 86, 82, negative
82, 0, 85, -1, -2, 6, 3, 88, 84, negative
78, 1, 83, 1, -40, 10, 4, 124, 120, negative
105, 0, 106, 4, 70, 0, 2, 36, 34, negative
102, 0, 102, -5, 70, -7, 1, 33, 32, negative
75, 2, 79, 1, -42, 0, 4, 123, 118, negative
84, 0, 88, 0, -2, -14, 3, 90, 88, negative
85, 2, 88, 0, 2, 0, 3, 86, 82, negative
81, 0, 84, 0, -14, 17, 3, 100, 96, negative
85, 0, 88, -7, 2, 0, 3, 85, 82, negative
77, 0, 81, 0, -42, 0, 4, 125, 120, negative
101, 0, 102, 1, 72, 19, 1, 30, 28, negative
80, 0, 84, 0, -32, 13, 4, 117, 114, negative
81, 0, 84, 0, -14, -4, 4, 100, 96, negative
72, 3, 76, 7, -40, 29, 4, 117, 114, negative
76, 0, 81, -1, -42, -22, 5, 125, 120, negative
81, -2, 84, 0, -18, -30, 4, 103, 98, negative
104, 1, 106, 2, 70, 0, 1, 36, 34, negative
105, 4, 106, 1, 70, 0, 1, 36, 36, negative
102, 0, 103, 4, 70, -8, 1, 33, 32, negative
85, 0, 88, 0, 0, -9, 3, 88, 86, negative
84, -4, 88, 0, 6, 0, 4, 83, 78, negative
84, 0, 86, -7, -4, 0, 3, 92, 88, negative
82, 5, 85, 0, -12, 0, 3, 98, 94, negative
82, 0, 86, 0, -10, 0, 4, 96, 92, negative
80, -1, 84, -1, -40, 7, 4, 126, 122, negative
77, 0, 81, 2, -42, 0, 4, 125, 120, negative
79, 0, 83, 0, -42, 31, 4, 127, 122, negative
105, 0, 107, 0, 72, 25, 1, 35, 34, negative
85, -1, 88, 0, 2, -13, 3, 86, 82, negative
85, 0, 89, 0, 6, 22, 4, 84, 80, negative
101, 0, 102, 0, 70, -19, 1, 32, 32, negative
102, 0, 103, 0, 72, 4, 1, 31, 30, negative
81, 0, 84, 0, -18, -15, 3, 103, 100, negative
84, -4, 88, 0, 6, 0, 4, 83, 80, negative
86, 4, 89, 0, 8, 0, 3, 81, 78, negative
84, 0, 88, 0, 0, 9, 3, 88, 84, negative
80, 3, 84, 0, -42, 0, 4, 128, 124, negative
79, 0, 83, -1, -42, -29, 4, 126, 122, negative
80, -4, 84, 0, -36, 0, 5, 121, 116, negative
106, -4, 108, 0, 72, 11, 1, 35, 34, negative
76, 2, 81, -2, -42, 0, 5, 125, 120, negative
76, 0, 81, -7, -42, -14, 5, 125, 120, negative
79, 0, 83, 0, -40, -10, 4, 125, 120, negative
82, 0, 86, -1, -40, 4, 4, 128, 124, negative
72, -9, 76, -8, -40, 8, 4, 117, 114, negative
102, -5, 103, 0, 72, 19, 1, 31, 30, negative
82, 1, 86, 0, -40, 6, 4, 128, 124, negative
83, 0, 86, 0, -4, -4, 4, 92, 88, negative
85, 0, 88, 0, 0, -12, 3, 88, 86, negative
85, 5, 88, 8, -2, 0, 3, 91, 88, negative
81, 0, 84, 0, -20, 17, 4, 105, 102, negative
83, 0, 86, 0, -4, 4, 3, 92, 88, negative
81, 0, 84, 0, -22, 0, 3, 108, 104, negative
85, 0, 88, 0, 2, 13, 3, 86, 82, negative
84, 0, 87, 0, 0, 4, 3, 87, 84, negative
81, 0, 84, 0, -14, -17, 4, 100, 96, negative
79, 0, 83, 0, -40, -5, 4, 125, 120, negative
76, 0, 80, 0, -42, 0, 4, 124, 120, negative
102, 0, 103, 0, 70, -11, 1, 33, 32, negative
82, 0, 86, 0, -42, -23, 4, 130, 126, negative
