@relation  shuttle-2_vs_5
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class{positive,negative}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9
@outputs Class
@data
42, 36, 77, 0, -22, 0, 36, 101, 64, positive
71, 46, 82, 0, -42, -8, 11, 126, 114, positive
50, 23, 77, 0, -22, 0, 27, 101, 74, positive
42, 22, 77, 0, 28, 0, 35, 48, 14, positive
42, 23, 77, 0, 28, 0, 35, 48, 14, positive
81, 0, 84, 5, -12, 21, 4, 97, 94, negative
81, 1, 84, 0, -14, 3, 3, 100, 96, negative
78, -4, 83, 0, -46, 0, 4, 129, 124, negative
105, 2, 106, 3, 70, 0, 1, 36, 36, negative
84, 0, 87, -1, -2, 0, 3, 90, 86, negative
80, -1, 84, 1, -20, 0, 4, 105, 100, negative
82, 0, 86, 0, -2, 24, 3, 88, 84, negative
82, 2, 86, 0, -6, 0, 3, 94, 90, negative
102, 0, 102, 0, 72, 31, 1, 30, 30, negative
75, 5, 79, 5, -42, 0, 4, 123, 120, negative
78, 0, 81, 0, -40, 640, 4, 123, 120, negative
82, 1, 86, 0, -24, -27, 4, 112, 108, negative
85, 0, 88, 0, 2, 3, 3, 86, 82, negative
82, 1, 86, 2, -40, 3, 5, 128, 124, negative
106, 0, 108, 5, 70, 0, 2, 38, 36, negative
76, 1, 81, 0, -42, 0, 4, 125, 120, negative
83, 0, 86, 0, -6, -11, 3, 94, 90, negative
103, -1, 104, -1, 70, 0, 1, 35, 34, negative
102, 0, 103, 0, 70, -2, 1, 33, 32, negative
79, -3, 83, 0, -40, 0, 4, 125, 120, negative
85, 0, 88, 0, -2, -2, 3, 91, 88, negative
76, 0, 81, -3, -40, 20, 5, 122, 118, negative
79, 0, 83, 0, -30, -8, 4, 114, 110, negative
80, 2, 84, 4, -28, 0, 4, 112, 108, negative
79, 0, 84, 6, -42, -16, 4, 128, 124, negative
82, 0, 86, 0, -10, 14, 3, 96, 92, negative
85, 0, 88, 2, 2, 0, 3, 86, 82, negative
104, -8, 107, -1, 70, 0, 3, 37, 34, negative
82, -1, 86, -4, -40, 0, 4, 128, 124, negative
102, 0, 103, 0, 72, 13, 1, 31, 30, negative
107, -1, 108, 0, 72, 1, 1, 36, 34, negative
105, 0, 106, -2, 72, 5, 1, 34, 34, negative
85, 0, 88, 1, 6, 0, 3, 83, 80, negative
77, 3, 81, 0, -40, 0, 4, 123, 118, negative
80, 0, 84, 0, -42, -6, 4, 128, 124, negative
83, 0, 86, 0, -6, 0, 3, 94, 90, negative
104, 0, 106, 0, 72, 9, 1, 33, 32, negative
80, 0, 84, -2, -40, 3, 4, 125, 122, negative
78, 0, 82, -6, -46, 0, 4, 128, 124, negative
83, 0, 87, 0, -40, 5, 4, 128, 124, negative
83, 0, 87, 0, -42, -24, 4, 131, 126, negative
