@relation paw02a-800-7-0-BI-5-2tst
@attribute a0 real[-63.0,762.0]
@attribute a1 real[66.0,991.0]
@attribute a2{positive,negative}
@inputs a0, a1
@outputs a2
@data
422.0,345.0,positive
396.0,409.0,positive
439.0,429.0,positive
421.0,403.0,positive
424.0,321.0,positive
378.0,310.0,positive
401.0,392.0,positive
472.0,678.0,positive
434.0,680.0,positive
520.0,668.0,positive
515.0,751.0,positive
390.0,626.0,positive
427.0,605.0,positive
428.0,714.0,positive
518.0,638.0,positive
522.0,691.0,positive
488.0,649.0,positive
316.0,477.0,positive
343.0,510.0,positive
320.0,449.0,positive
518.0,451.0,negative
593.0,785.0,negative
479.0,161.0,negative
666.0,564.0,negative
452.0,789.0,negative
94.0,746.0,negative
609.0,423.0,negative
268.0,325.0,negative
438.0,485.0,negative
128.0,77.0,negative
241.0,245.0,negative
343.0,662.0,negative
132.0,474.0,negative
362.0,109.0,negative
290.0,403.0,negative
55.0,113.0,negative
608.0,148.0,negative
-3.0,654.0,negative
552.0,343.0,negative
585.0,122.0,negative
735.0,161.0,negative
399.0,280.0,negative
711.0,356.0,negative
121.0,92.0,negative
620.0,372.0,negative
108.0,212.0,negative
179.0,944.0,negative
277.0,186.0,negative
624.0,694.0,negative
-13.0,728.0,negative
175.0,119.0,negative
585.0,632.0,negative
502.0,134.0,negative
673.0,322.0,negative
519.0,596.0,negative
504.0,569.0,negative
759.0,341.0,negative
-58.0,717.0,negative
227.0,620.0,negative
156.0,540.0,negative
623.0,863.0,negative
75.0,323.0,negative
300.0,180.0,negative
-15.0,746.0,negative
47.0,213.0,negative
734.0,220.0,negative
665.0,738.0,negative
584.0,581.0,negative
277.0,736.0,negative
212.0,332.0,negative
539.0,412.0,negative
696.0,300.0,negative
662.0,91.0,negative
247.0,373.0,negative
716.0,711.0,negative
596.0,85.0,negative
439.0,234.0,negative
-19.0,609.0,negative
762.0,895.0,negative
27.0,683.0,negative
335.0,978.0,negative
188.0,273.0,negative
281.0,276.0,negative
752.0,214.0,negative
-45.0,529.0,negative
755.0,902.0,negative
408.0,986.0,negative
643.0,428.0,negative
623.0,305.0,negative
692.0,385.0,negative
523.0,579.0,negative
541.0,462.0,negative
467.0,581.0,negative
-7.0,299.0,negative
524.0,933.0,negative
305.0,687.0,negative
721.0,356.0,negative
716.0,720.0,negative
640.0,392.0,negative
25.0,797.0,negative
527.0,531.0,negative
524.0,590.0,negative
-62.0,990.0,negative
544.0,966.0,negative
703.0,398.0,negative
474.0,254.0,negative
733.0,393.0,negative
728.0,513.0,negative
375.0,876.0,negative
-27.0,821.0,negative
661.0,821.0,negative
637.0,457.0,negative
644.0,711.0,negative
268.0,753.0,negative
694.0,485.0,negative
648.0,79.0,negative
623.0,404.0,negative
740.0,911.0,negative
1.0,504.0,negative
433.0,549.0,negative
374.0,943.0,negative
174.0,267.0,negative
708.0,400.0,negative
689.0,938.0,negative
405.0,783.0,negative
106.0,906.0,negative
513.0,783.0,negative
43.0,300.0,negative
287.0,92.0,negative
67.0,530.0,negative
-32.0,401.0,negative
146.0,224.0,negative
0.0,869.0,negative
313.0,240.0,negative
390.0,197.0,negative
-58.0,434.0,negative
32.0,424.0,negative
544.0,180.0,negative
300.0,298.0,negative
-47.0,285.0,negative
107.0,899.0,negative
97.0,280.0,negative
752.0,912.0,negative
-37.0,344.0,negative
325.0,660.0,negative
360.0,236.0,negative
11.0,927.0,negative
685.0,752.0,negative
255.0,352.0,negative
439.0,812.0,negative
63.0,617.0,negative
7.0,332.0,negative
213.0,775.0,negative
539.0,449.0,negative
134.0,257.0,negative
542.0,780.0,negative
734.0,422.0,negative
386.0,238.0,negative
50.0,593.0,negative
-12.0,251.0,negative
