@relation 04clover5z-800-7-50-BI-5-1tst
@attribute a0 real[-573.0,533.0]
@attribute a1 real[-413.0,413.0]
@attribute a2{positive,negative}
@inputs a0, a1
@outputs a2
@data
172.0,85.0,positive
-186.0,82.0,positive
251.0,183.0,positive
-50.0,166.0,positive
-138.0,-63.0,positive
-37.0,105.0,positive
-139.0,113.0,positive
-72.0,223.0,positive
223.0,96.0,positive
-305.0,-74.0,positive
-367.0,12.0,positive
-327.0,0.0,positive
-222.0,7.0,positive
-342.0,-12.0,positive
334.0,258.0,positive
-73.0,-47.0,positive
239.0,-209.0,positive
-167.0,403.0,positive
222.0,-141.0,positive
-123.0,391.0,positive
-361.0,-238.0,negative
-499.0,368.0,negative
222.0,-267.0,negative
-45.0,-382.0,negative
-134.0,-96.0,negative
2.0,385.0,negative
229.0,-40.0,negative
-254.0,389.0,negative
87.0,347.0,negative
-198.0,-237.0,negative
218.0,-102.0,negative
-446.0,369.0,negative
47.0,-399.0,negative
392.0,-112.0,negative
-455.0,-381.0,negative
-280.0,-387.0,negative
486.0,-29.0,negative
248.0,242.0,negative
-398.0,90.0,negative
76.0,-181.0,negative
-338.0,-334.0,negative
-538.0,52.0,negative
200.0,193.0,negative
-249.0,349.0,negative
-409.0,-161.0,negative
-403.0,-298.0,negative
-466.0,-17.0,negative
89.0,-299.0,negative
-396.0,110.0,negative
348.0,141.0,negative
-18.0,406.0,negative
427.0,-277.0,negative
-427.0,18.0,negative
441.0,-174.0,negative
174.0,-220.0,negative
34.0,274.0,negative
-363.0,174.0,negative
40.0,-292.0,negative
-243.0,84.0,negative
275.0,337.0,negative
257.0,118.0,negative
-386.0,175.0,negative
-90.0,367.0,negative
209.0,379.0,negative
-256.0,-182.0,negative
13.0,-249.0,negative
494.0,344.0,negative
-346.0,175.0,negative
53.0,-92.0,negative
-287.0,89.0,negative
-490.0,-309.0,negative
-264.0,138.0,negative
26.0,-247.0,negative
187.0,-244.0,negative
150.0,-2.0,negative
-374.0,279.0,negative
-393.0,-154.0,negative
496.0,-377.0,negative
330.0,-197.0,negative
23.0,212.0,negative
420.0,-4.0,negative
-484.0,28.0,negative
438.0,-187.0,negative
-452.0,-69.0,negative
20.0,276.0,negative
365.0,86.0,negative
-397.0,-201.0,negative
417.0,362.0,negative
-320.0,-202.0,negative
-302.0,261.0,negative
89.0,-396.0,negative
285.0,77.0,negative
-293.0,124.0,negative
-509.0,154.0,negative
-511.0,-43.0,negative
453.0,138.0,negative
-437.0,298.0,negative
-48.0,-48.0,negative
-295.0,372.0,negative
273.0,-282.0,negative
-161.0,-105.0,negative
-331.0,-131.0,negative
89.0,275.0,negative
-500.0,-331.0,negative
146.0,-387.0,negative
-310.0,-162.0,negative
-434.0,17.0,negative
-373.0,-123.0,negative
-537.0,348.0,negative
238.0,-276.0,negative
245.0,111.0,negative
229.0,-77.0,negative
-50.0,338.0,negative
453.0,187.0,negative
8.0,-122.0,negative
-190.0,142.0,negative
-224.0,-304.0,negative
-538.0,229.0,negative
57.0,-216.0,negative
-141.0,131.0,negative
118.0,404.0,negative
502.0,9.0,negative
136.0,297.0,negative
-126.0,-233.0,negative
-462.0,-9.0,negative
475.0,42.0,negative
397.0,-323.0,negative
28.0,139.0,negative
121.0,-341.0,negative
-291.0,263.0,negative
316.0,235.0,negative
-401.0,-12.0,negative
272.0,-116.0,negative
504.0,-375.0,negative
-174.0,-214.0,negative
-165.0,-131.0,negative
370.0,-387.0,negative
476.0,-54.0,negative
-193.0,312.0,negative
-115.0,379.0,negative
-386.0,-352.0,negative
263.0,69.0,negative
470.0,-118.0,negative
-379.0,172.0,negative
-467.0,90.0,negative
-506.0,-57.0,negative
-136.0,209.0,negative
-316.0,-184.0,negative
207.0,-287.0,negative
-258.0,-331.0,negative
-169.0,63.0,negative
-436.0,156.0,negative
-529.0,134.0,negative
-346.0,-62.0,negative
-281.0,-117.0,negative
439.0,-75.0,negative
-125.0,403.0,negative
-237.0,322.0,negative
513.0,93.0,negative
239.0,280.0,negative
