@relation  glass0
@attribute RI real[1.51115,1.53393]
@attribute Na real[10.73,17.38]
@attribute Mg real[0.0,4.49]
@attribute Al real[0.29,3.5]
@attribute Si real[69.81,75.41]
@attribute K real[0.0,6.21]
@attribute Ca real[5.43,16.19]
@attribute Ba real[0.0,3.15]
@attribute Fe real[0.0,0.51]
@attribute Class{positive,negative}
@inputs RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
@outputs Class
@data
1.5177562, 12.85135, 3.47975, 1.23053, 72.9684, 0.60858, 8.56116, 0.09135, 0.1122, positive
1.5229956, 13.3102, 3.57853, 0.81965, 71.9884, 0.11799, 10.17516, 0.0, 0.0153, positive
1.51793844, 13.21045, 3.47975, 1.41029, 72.638, 0.58995, 8.43204, 0.0, 0.0, positive
1.5190091, 13.48975, 3.47975, 1.3493, 71.9492, 0.55269, 9.00232, 0.0, 0.0, positive
1.51746006, 12.83805, 3.5022, 1.14065, 73.2708, 0.5589, 8.5504, 0.0, 0.0, positive
1.51807512, 13.4299, 2.86911, 1.1888, 72.8396, 0.55269, 9.0346, 0.0, 0.0, positive
1.51755118, 13.4831, 3.74017, 1.16954, 72.9908, 0.58995, 8.03392, 0.0, 0.0, positive
1.5159338, 13.09075, 3.592, 1.51943, 73.0972, 0.67068, 7.82948, 0.0, 0.0, negative
1.51622994, 14.2013, 0.0, 2.79059, 73.4612, 0.03726, 9.04536, 0.40005, 0.459, negative
1.51645774, 13.40995, 3.55159, 1.24979, 72.8116, 0.6831, 8.09848, 0.0, 0.0, negative
1.51591102, 13.23705, 3.34056, 1.47128, 73.0972, 0.39123, 8.21684, 0.0, 0.0, negative
1.51408862, 14.24785, 3.08912, 2.08118, 72.2796, 1.09917, 7.07628, 0.0, 0.0, negative
1.52210718, 14.188, 3.78058, 0.90953, 71.3612, 0.22977, 9.1422, 0.0, 0.1887, negative
1.51645774, 14.93945, 0.0, 1.86932, 73.1084, 0.0, 8.66876, 1.3797, 0.0, negative
1.52176548, 13.19715, 3.6818, 1.15028, 72.75, 0.54027, 8.51812, 0.0, 0.0, negative
1.51622994, 14.14145, 0.0, 2.88047, 72.61, 0.08073, 9.18524, 1.06155, 0.0, negative
1.51846238, 13.0974, 3.96916, 1.1888, 72.442, 0.60237, 8.43204, 0.0, 0.0, negative
1.51828014, 14.46065, 2.24051, 1.61894, 72.3804, 0.0, 9.26056, 0.0, 0.0, negative
1.51812068, 12.95775, 2.95891, 1.42955, 72.918, 0.60237, 8.78712, 0.1386, 0.0, negative
1.52408904, 13.8289, 2.90054, 1.16954, 71.1484, 0.08073, 10.78848, 0.0, 0.0, negative
1.52613924, 13.70255, 0.0, 1.35893, 71.238, 0.19251, 13.43544, 0.0, 0.051, negative
1.53393, 12.2994, 0.0, 0.99941, 70.1628, 0.11799, 16.19, 0.0, 0.1224, negative
