@relation glass1
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.51720948, 12.8713, 3.47975, 1.33004, 73.0412, 0.5589, 8.43204, 0.0, 0.0, negative
1.5175284, 12.57205, 3.47077, 1.3814, 73.3884, 0.60237, 8.5504, 0.0, 0.0306, negative
1.51925968, 13.19715, 3.33158, 1.27868, 72.358, 0.60237, 9.1422, 0.0, 0.0561, negative
1.51761952, 12.61195, 3.592, 1.31078, 73.2876, 0.57753, 8.4966, 0.0, 0.0, negative
1.51807512, 13.4299, 2.86911, 1.1888, 72.8396, 0.55269, 9.0346, 0.0, 0.0, negative
1.5215149, 13.11735, 3.57853, 0.8999, 72.2012, 0.22977, 9.82008, 0.0, 0.0816, negative
1.51748284, 12.858, 3.56057, 1.26905, 73.2092, 0.54027, 8.37824, 0.0, 0.0867, negative
1.51618438, 13.01095, 3.5022, 1.48091, 72.89, 0.60237, 8.12, 0.0, 0.0, positive
1.52080872, 13.78235, 2.28092, 1.42955, 71.9884, 0.49059, 9.85236, 0.0, 0.0867, positive
1.5184396, 13.25035, 3.75813, 1.32041, 72.4028, 0.57753, 8.42128, 0.0, 0.0, positive
1.52739214, 11.0226, 0.0, 0.74903, 73.0804, 0.0, 14.96336, 0.0, 0.0, positive
1.51805234, 12.99765, 3.79854, 1.07966, 73.0692, 0.5589, 8.37824, 0.0, 0.0612, positive
1.52019366, 13.98185, 1.35149, 1.62857, 71.7588, 0.39123, 10.56252, 0.0, 0.51, positive
1.51595658, 13.0176, 3.56057, 1.53869, 73.1084, 0.72036, 7.9048, 0.0, 0.0, positive
1.5167311, 12.7915, 3.52016, 1.53869, 73.3604, 0.65826, 7.9048, 0.0, 0.0, positive
1.51645774, 13.03755, 3.39893, 1.25942, 73.0076, 0.52164, 8.58268, 0.0, 0.0, negative
1.52210718, 14.188, 3.78058, 0.90953, 71.3612, 0.22977, 9.1422, 0.0, 0.1887, negative
1.51796122, 13.50305, 3.35852, 1.62857, 71.938, 0.57132, 8.80864, 0.0, 0.459, negative
1.52042146, 13.3767, 0.0, 1.40066, 72.2516, 0.32913, 12.49932, 0.0, 0.0, negative
1.51853072, 14.08825, 2.19112, 1.66067, 72.6716, 0.0, 9.32512, 0.0, 0.0, negative
1.51545542, 14.14145, 0.0, 2.68145, 73.3884, 0.08073, 9.06688, 0.6111, 0.0255, negative
1.51531874, 14.38085, 0.0, 2.65898, 73.0972, 0.03726, 9.07764, 0.63945, 0.0, negative
