@relation  glass1
@attribute RI real[1.51115,1.53393]
@attribute Na real[10.73,17.38]
@attribute Mg real[0.0,4.49]
@attribute Al real[0.29,3.5]
@attribute Si real[69.81,75.41]
@attribute K real[0.0,6.21]
@attribute Ca real[5.43,16.19]
@attribute Ba real[0.0,3.15]
@attribute Fe real[0.0,0.51]
@attribute Class{positive,negative}
@inputs RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
@outputs Class
@data
1.51666276, 12.9378, 3.60996, 1.25942, 72.75, 0.5589, 8.6042, 0.0, 0.0, positive
1.52739214, 11.0226, 0.0, 0.74903, 73.0804, 0.0, 14.96336, 0.0, 0.0, positive
1.5159338, 13.09075, 3.592, 1.51943, 73.0972, 0.67068, 7.82948, 0.0, 0.0, positive
1.51588824, 13.11735, 3.40791, 1.58042, 73.2596, 0.06831, 8.389, 0.0, 0.0969, positive
1.51645774, 13.4432, 3.60996, 1.53869, 72.3916, 0.65826, 8.03392, 0.0, 0.0, positive
1.52080872, 13.78235, 2.28092, 1.42955, 71.9884, 0.49059, 9.85236, 0.0, 0.0867, positive
1.51654886, 12.7516, 2.85115, 1.43918, 73.2708, 0.57132, 8.78712, 0.11025, 0.1122, positive
1.51618438, 13.01095, 3.5022, 1.48091, 72.89, 0.60237, 8.12, 0.0, 0.0, positive
1.51800678, 13.7092, 3.92875, 1.53869, 71.8092, 0.54027, 8.20608, 0.0, 0.0765, positive
1.51789288, 13.1905, 3.90181, 1.30115, 72.33, 0.55269, 8.4428, 0.0, 0.1428, positive
1.5167311, 12.7915, 3.52016, 1.53869, 73.3604, 0.65826, 7.9048, 0.0, 0.0, positive
1.51591102, 12.858, 3.52016, 2.1197, 72.6604, 0.68931, 7.96936, 0.0, 0.0, positive
1.51841682, 12.93115, 3.74017, 1.10855, 72.2796, 0.63963, 8.95928, 0.0, 0.1122, positive
1.51818902, 13.7225, 0.0, 0.55964, 74.4524, 0.0, 10.99292, 0.0, 0.0, positive
1.51572878, 14.85965, 3.66833, 1.74092, 71.8708, 0.16146, 7.35604, 0.0, 0.0612, positive
1.53124196, 10.73, 0.0, 2.10044, 69.81, 0.57753, 13.29556, 3.15, 0.1428, positive
1.5229956, 13.3102, 3.57853, 0.81965, 71.9884, 0.11799, 10.17516, 0.0, 0.0153, negative
1.52121876, 14.0284, 3.75813, 0.5789, 71.7924, 0.11178, 9.64792, 0.0, 0.0, negative
1.5161616, 14.95275, 0.0, 2.27057, 73.2988, 0.0, 8.7118, 0.67095, 0.0, negative
1.51761952, 13.88875, 3.60098, 1.35893, 72.7276, 0.47817, 7.82948, 0.0, 0.0, negative
1.51830292, 14.3875, 0.0, 1.82117, 72.862, 1.40967, 6.47372, 2.8791, 0.0, negative
1.51869018, 13.1905, 3.37199, 1.17917, 72.722, 0.57132, 8.83016, 0.0, 0.0816, negative
1.52365622, 15.79065, 1.83192, 1.31078, 70.4316, 0.3105, 8.61496, 1.67895, 0.0, negative
1.52171992, 13.5097, 3.8614, 0.88064, 71.7924, 0.22977, 9.54032, 0.0, 0.0561, negative
1.51115, 17.38, 0.0, 0.34136, 75.41, 0.0, 6.64588, 0.0, 0.0, negative
1.51755118, 12.99765, 3.60098, 1.35893, 72.9908, 0.57132, 8.39976, 0.0, 0.0561, negative
1.51768786, 12.45235, 2.71196, 1.29152, 73.702, 0.5589, 9.05612, 0.0, 0.1224, negative
1.5151365, 14.00845, 2.68053, 3.5, 69.8884, 1.68291, 5.87116, 2.1987, 0.0, negative
1.51925968, 13.19715, 3.33158, 1.27868, 72.358, 0.60237, 9.1422, 0.0, 0.0561, negative
1.52101374, 13.6427, 4.49, 1.09892, 71.7812, 0.0621, 8.75484, 0.0, 0.0, negative
1.51746006, 12.83805, 3.5022, 1.14065, 73.2708, 0.5589, 8.5504, 0.0, 0.0, negative
1.51937358, 13.789, 2.41113, 1.1888, 72.7612, 0.0, 9.76628, 0.0, 0.0, negative
1.51750562, 12.8181, 3.55159, 1.49054, 72.75, 0.54027, 8.51812, 0.0, 0.0969, negative
1.5132002, 12.99765, 0.0, 3.0185, 70.7004, 6.21, 6.92564, 0.0, 0.0, negative
1.52042146, 13.3767, 0.0, 1.40066, 72.2516, 0.32913, 12.49932, 0.0, 0.0, negative
1.51588824, 12.87795, 3.43036, 1.40066, 73.282, 0.68931, 8.04468, 0.0, 0.1224, negative
1.51761952, 12.79815, 3.65935, 1.26905, 73.0076, 0.60237, 8.56116, 0.0, 0.0, negative
1.51793844, 13.21045, 3.47975, 1.41029, 72.638, 0.58995, 8.43204, 0.0, 0.0, negative
1.51556932, 13.8688, 0.0, 2.54021, 73.2316, 0.14283, 9.4112, 0.80955, 0.0051, negative
1.51777898, 13.6427, 3.65037, 0.64952, 73.002, 0.0621, 8.927, 0.0, 0.0, negative
1.5178701, 12.73165, 3.43036, 1.1888, 72.9516, 0.621, 8.75484, 0.0, 0.153, negative
1.5215149, 11.02925, 1.71069, 1.56116, 73.4388, 0.57753, 11.617, 0.0, 0.0, negative
1.51966972, 14.7732, 3.74915, 0.29, 72.022, 0.03105, 9.00232, 0.0, 0.0, negative
1.51887242, 14.99265, 0.78126, 1.74092, 72.498, 0.0, 9.9492, 0.0, 0.0, negative
